class,color
RGNT,#7fffd4
PIN_RB,#7fffd4
ENB,#7fffd4
NB,#76eec6
PITUI_SCO_GCT,#66cdaa
CONTR_ADENOPIT,#0f0f0f
CONTR_CEBM,#1a1a1a
CONTR_HEMI,#333333
CONTR_HYPTHAL,#4d4d4d
CONTR_INFLAM,#666666
CONTR_PINEAL,#7f7f7f
CONTR_PONS,#999999
CONTR_REACT,#b3b3b3
CONTR_WM,#cccccc
CONTR_MEN,#e5e5e5
